length,present,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,txtList.started,txtList.stopped,txtProbe.started,txtProbe.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,sound_1.started,sound_1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
7,0,3,4,28,7,149.92367010004818,151.42462550010532,153.42629960016347,None,right,1,0.6467800000682473,153.42629960016347,None,154.0938591701444,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
3,0,3,5,29,5,154.67748600011691,156.17846680013463,158.18056740006432,None,right,1,0.6367641999386251,158.18056740006432,None,158.84742097002453,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
5,0,3,6,30,6,159.43148040003143,160.93276520003565,162.93443890009075,None,right,1,0.5958942000288516,162.93443890009075,None,163.55141917015425,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
5,1,3,7,31,2,164.13528320007026,165.63655179995112,167.63808610010892,None,left,1,0.7960086001548916,167.63808610010892,None,168.45570157007313,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
1,1,4,0,32,0,169.0229025001172,170.5238312999718,172.52537020016462,None,left,1,0.49290760001167655,172.52537020016462,None,173.04230527002363,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
7,0,4,1,33,7,173.62653849995695,175.12750559998676,177.12921670009382,None,right,1,0.6801676999311894,177.12921670009382,None,177.82971417000516,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
5,1,4,2,34,2,178.41366830002517,179.91491049993783,181.9166834000498,None,left,1,0.8447070999536663,181.9166834000498,None,182.78402547007425,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
7,1,4,3,35,3,183.36775079998188,184.86929420009255,186.87059350009076,None,right,0,0.9637110999319702,186.87059350009076,None,187.85482007013633,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
3,0,4,4,36,5,188.4387285001576,189.9397375001572,191.94140300014988,None,right,1,0.6217388999648392,191.94140300014988,None,192.59211447001434,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
3,1,4,5,37,1,193.1758642999921,194.67724280012771,196.67862479994074,None,left,1,0.4720131999347359,196.67862479994074,None,197.17919426998122,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
1,0,4,6,38,4,197.76297940011136,199.26420370000415,201.26607360015623,None,right,1,0.4081368001643568,201.26607360015623,None,201.69990587006322,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
5,0,4,7,39,6,202.30021410016343,203.80128700006753,205.80280130007304,None,right,1,0.6126296001020819,205.80280130007304,None,206.43684467002748,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
3,0,5,0,40,5,207.02100099995732,208.52179450006224,210.5234585001599,None,right,1,0.4618933000601828,210.5234585001599,None,211.00718216998501,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
